Net Name, Vias, No Ref, Max, Min, Typ, Max, Min, Typ, Length, Delay(ns), R(mOhm), L(nH), C(pF)
FU_DDR4_DQ45,2,0,48,39,48,95.48,4.52,95.48,28.146,0.197,298.58,9.384,4.137
FU_DDR4_DQ46,2,0,48,39,48,95.8,4.2,95.8,30.334,0.212,322.527,10.123,4.457
FU_DDR4_DQ47,2,0,48,39,48,95.52,4.48,95.52,28.414,0.199,301.513,9.475,4.176
FU_DDR4_DQ48,2,0,48,39,48,96.99,3.01,96.99,42.309,0.296,453.594,14.166,6.209
FU_DDR4_DQ49,2,0,53.6,39,48,0.99,3.15,95.86,40.389,0.283,432.586,13.533,5.922
FU_DDR4_DQ50,2,0,48,39,48,96.99,3.01,96.99,42.248,0.296,452.923,14.146,6.2
FU_DDR4_DQ51,2,0,53.6,39,48,1.04,3.14,95.82,40.51,0.284,433.907,13.575,5.939
FU_DDR4_DQ52,2,0,48,39,48,96.98,3.02,96.98,42.185,0.296,452.236,14.125,6.191
FU_DDR4_DQ53,2,0,53.6,39,48,0.98,3.13,95.89,40.683,0.285,435.795,13.632,5.965
FU_DDR4_DQ54,2,0,48,39,48,97.01,2.99,97.01,42.559,0.298,456.327,14.251,6.246
FU_DDR4_DQ55,2,0,53.6,39,48,0.51,3.13,78.64,40.63,0.284,435.219,13.786,5.88
FU_DDR4_DQ56,2,0,48,39,48,96.06,3.94,96.06,32.326,0.226,344.33,10.796,4.748
FU_DDR4_DQ57,2,0,53.6,39,48,1.31,4.17,94.51,30.505,0.213,324.393,10.196,4.475
FU_DDR4_DQ58,2,0,48,39,48,96.06,3.94,96.06,32.294,0.226,343.979,10.785,4.744
FU_DDR4_DQ59,2,0,53.6,39,48,1.31,4.16,94.53,30.578,0.214,325.196,10.22,4.486
FU_DDR4_DQ60,2,0,48,39,48,96.08,3.92,96.08,32.503,0.227,346.263,10.855,4.774
FU_DDR4_DQ61,2,0,53.6,39,48,1.3,4.14,94.55,30.712,0.215,326.66,10.266,4.506
FU_DDR4_DQ62,2,0,48,39,48,96.07,3.93,96.07,32.418,0.227,345.339,10.827,4.762
FU_DDR4_DQ63,2,0,53.6,39,48,1.3,4.14,94.56,30.751,0.215,327.089,10.279,4.511
FU_DDR4_DQ64,2,0,48,39,48,96.94,3.06,96.94,41.605,0.291,445.895,13.929,6.106
FU_DDR4_DQ65,2,0,63.3,39,48,1.05,3.32,95.63,38.306,0.268,409.782,12.86,5.61
FU_DDR4_DQ66,2,0,48,39,48,96.95,3.05,96.95,41.669,0.292,446.59,13.95,6.116
FU_DDR4_DQ67,2,0,63.3,39,48,1.03,3.29,95.68,38.741,0.271,414.548,13.007,5.673
FU_DDR4_DQ68,2,0,48,39,48,96.95,3.05,96.95,41.681,0.292,446.725,13.955,6.117
FU_DDR4_DQ69,2,0,63.3,39,48,1.03,3.29,95.68,38.743,0.271,414.562,13.007,5.674
FU_DDR4_DQ70,2,0,48,39,48,96.94,3.06,96.94,41.552,0.291,445.316,13.911,6.098
FU_DDR4_DQ71,2,0,63.3,39,48,1.03,3.29,95.68,38.714,0.271,414.244,12.997,5.669
FU_DDR4_DQ72,2,0,48,39,48,97.13,2.87,97.13,44.377,0.311,476.231,14.865,6.512
FU_DDR4_DQ73,2,0,63.3,39,48,0.96,3.05,95.99,41.732,0.292,447.278,14.016,6.111
FU_DDR4_DQ74,2,0,48,39,48,97.13,2.87,97.13,44.38,0.311,476.261,14.866,6.512
FU_DDR4_DQ75,2,0,63.3,39,48,1.16,3.05,95.8,41.774,0.293,447.745,14.04,6.114
FU_DDR4_DQ76,2,0,48,39,48,97.13,2.87,97.13,44.342,0.311,475.85,14.853,6.507
FU_DDR4_DQ77,2,0,63.3,39,48,2.88,3.05,94.07,41.793,0.293,447.951,14.127,6.093
FU_DDR4_DQ78,2,0,48,39,48,97.14,2.86,97.14,44.543,0.312,478.052,14.921,6.536
FU_DDR4_DQ79,2,0,63.3,39,48,0.97,3.07,95.97,41.47,0.291,444.408,13.928,6.073
FU_DDR4_DQS0_C,2,0,50.5,39,50.5,98.27,1.73,98.27,73.641,0.517,901.903,26.031,10.27
FU_DDR4_DQS0_T,2,0,50.5,39,50.5,98.27,1.73,98.27,73.594,0.516,901.316,26.014,10.263
FU_DDR4_DQS1_C,2,0,50.5,39,50.5,97.69,2.31,97.69,55.091,0.386,671.855,19.438,7.689
FU_DDR4_DQS1_T,2,0,50.5,39,50.5,97.69,2.31,97.69,55.094,0.386,671.899,19.439,7.69
FU_DDR4_DQS2_C,2,0,65.9,39,50.5,1.05,1.96,96.99,64.923,0.456,793.792,23.01,9.036
FU_DDR4_DQS2_T,2,0,65.9,39,50.5,0.34,1.96,97.7,64.924,0.456,793.794,22.957,9.05
FU_DDR4_DQS3_C,2,0,56.2,39,50.5,1.56,1.95,96.5,65.428,0.459,800.047,23.15,9.113
FU_DDR4_DQS3_T,2,0,56.2,39,50.5,3.2,1.95,94.85,65.362,0.458,799.229,23.167,9.088
FU_DDR4_DQS4_C,2,0,50.5,39,50.5,96.53,3.47,96.53,36.685,0.257,443.596,12.896,5.129
FU_DDR4_DQS4_T,2,0,50.5,39,50.5,96.52,3.48,96.52,36.578,0.256,442.265,12.858,5.114
FU_DDR4_DQS5_C,2,0,56.2,39,50.5,0.96,4.52,93.7,28.144,0.197,337.681,9.877,3.935
FU_DDR4_DQS5_T,2,0,56.2,39,50.5,0.8,4.51,93.99,28.252,0.198,339.016,9.913,3.951
FU_DDR4_DQS6_C,2,0,50.5,39,50.5,96.99,3.01,96.99,42.289,0.296,513.095,14.888,5.909
FU_DDR4_DQS6_T,2,0,50.5,39,50.5,96.99,3.01,96.99,42.317,0.297,513.446,14.898,5.913
FU_DDR4_DQS7_C,2,0,56.2,39,50.5,2.38,4.18,93.44,30.441,0.213,366.164,10.704,4.25
FU_DDR4_DQS7_T,2,0,56.2,39,50.5,1.4,4.17,94.44,30.544,0.214,367.443,10.73,4.269
FU_DDR4_DQS8_C,2,0,50.5,39,50.5,96.93,3.07,96.93,41.397,0.29,502.038,14.571,5.785
FU_DDR4_DQS8_T,2,0,50.5,39,50.5,96.93,3.07,96.93,41.52,0.291,503.563,14.615,5.802
FU_DDR4_DQS9_C,2,0,65.9,39,50.5,0.96,3.05,95.99,41.687,0.292,505.627,14.719,5.812
FU_DDR4_DQS9_T,2,0,65.9,39,50.5,0.96,3.06,95.98,41.574,0.291,504.232,14.679,5.797
